,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
7620,Stress-Test Results: GMAC Gap Looks to Be Filled By Big Stake From Government ---- By Aparajita Saha-Bubna,2009-05-08 06:21:31.099,Government Intervention,Government Intervention,Government Intervention
7621,Deals & Deal Makers: AIG Sees Long Road Back From the Brink ---- By Liam Pleven,2009-05-11 06:12:02.763,Financial Stability,Financial Stability,Financial Recovery
7622,U.S. News: Flu Immunity Seen in Older Adults --- CDC Says People Who Got Related H1N1 Long Ago May Have Some Protection ---- By Betsy McKay,2009-05-21 06:16:51.552,Public Health Impact,Vaccine Efficacy,Public Health Resilience
7623,Fund Track: Changes Coming For the 401(k) Plan --- Democrats Target Fees and Enrollment ---- By Jennifer Levitz,2009-05-06 06:16:41.675,Retirement Plan Fees,Retirement Fee Risks,Regulatory Changes
7624,Nostalgia Ain't What It Used to Be As France Unearths Soviet Statues --- An Archaeologist Digs Up a Mixed Message Of Workers' Heyday -- and of Stalinism ---- By David Gauthier-Villars,2009-05-27 06:13:21.479,Historical Revisionism,Historical Revisionism,Cultural Heritage Investment
7625,Europe's High Court Tries On A Bunny Suit Made of Chocolate --- The Case: Can a Foil-Wrapped Flopsy Be Trademarked? Hunting Rabbit Knockoffs ---- By Charles Forelle,2009-06-11 06:13:42.248,Intellectual Property Risks,Intellectual Property Risks,Intellectual Property
7626,Technology: Adobe Strives to Crack the Smart-Phone Market --- Shifting Strategies Opposition From Apple Have Slowed Effort to Push Flash Video Software Beyond Computers ---- By Ben Worthen,2009-06-04 06:02:42.575,Market Competition,Market Disruption,Market Diversification
7627,Currency Trading: Dollar Rises on Riskier Rivals After a New Grim Forecast ---- By Riva Froymovich,2009-06-23 06:09:31.295,Currency Volatility,Currency Volatility,Currency Volatility
7628,Corporate News: Auto-Parts Suppliers to Seek More Government Aid --- Request for Up to $10 Billion in Loan Guarantees Comes as Car Maker Bankruptcies Further Hobble Industry ---- By Josh Mitchell,2009-06-10 06:19:31.020,Industry Distress,Industry Instability,Government Support
7629,Deals & Deal Makers: Deal Journal / Breaking Insight from WSJ.com ---- By Jodi Xu,2009-06-11 06:03:12.582,Market Volatility,Market Overheating,Market Volatility
7630,Fund Track: Finra Urges Caution On Leveraged Funds --- The Perils of Holding for More Than a Day ---- By Daisy Maxey,2009-06-23 06:00:51.778,Leveraged Funds Risk,Leverage Risks,Leveraged Funds Risk
7631,Denny's Tries Night-Owl Vibe --- Courting Rockers Chain Seeks Post-Party Young Adults ---- By Julie Jargon,2009-06-30 06:01:02.239,Youth Demographic Shift,Market Saturation,Consumer Engagement
7632,Media & Marketing: Viacom Promises Gains --- At Annual Meeting With Votes Locked Up Redstone and Dauman Point to Future ---- By Nat Worden,2009-06-05 06:13:12.995,Corporate Governance,Corporate Governance Risks,Corporate Governance
7633,The GM Bankruptcy: Potential Conflicts Abound in Government Role --- U.S. Raises Questions by Wearing Many Hats -- Shareholder Lender and Regulator Among Them -- in Restructured Company ---- By Neil King Jr. Jeffrey McCracken and Mike Spector,2009-06-01 06:11:22.902,Government Intervention,Government Intervention,Government Intervention
7634,Deals & Deal Makers -- IPO Outlook: IPO Garden Still Isn't Blooming ---- By Lynn Cowan,2009-06-01 06:08:32.733,IPO Market Slowdown,IPO slowdown,IPO Market
7635,Credit Markets: Investors Shed U.S. Assets --- Risk Hunger Returns as Outflows Total $53.2 Billion ---- By Riva Froymovich and Deborah Lynn Blumberg,2009-06-16 06:17:22.096,Capital Outflows,Capital Outflows,Market Liquidity
7636,U.S. News: Climate Bill Is Expected to Reverberate in 2010 Vote ---- By Greg Hitt and Stephen Power,2009-06-25 06:15:42.255,Climate Policy,Legislative Uncertainty,Legislative Impact
7637,Tuesday's Markets: Dow on Cusp Of Showing Gains for Year ---- By Peter A. McKay and Geoffrey Rogow,2009-06-03 06:13:42.250,Market Recovery,Market Stability,Market Recovery
7638,Ford's Mulally Sees a Taurus in His Future --- CEO Hopes to Revive Sedan That Once Was Best-Seller; High Price Large Size Are Obstacles ---- By Matthew Dolan,2009-06-23 06:12:31.474,Market Competition,Market Shift,Market Revival
7639,Fund Track: Not All Pay Share Of Revenue Sharing --- Retirement-Plan Costs Fall Only on Some ---- By Ian Salisbury,2009-06-30 06:00:32.209,Revenue Sharing,Inequitable Cost Burden,Selective Cost Reduction
7640,World Stock Markets: European and Asian Stocks End in the Red --- FTSE Sheds 2.6% as Miners Pace Declines; Nikkei Maintains 10000 Level but Declines by 1% ---- By Steve Goldstein and Chris Oliver,2009-06-16 06:16:02.008,Market Volatility,Market Decline,Market Resilience
7641,World News: U.S. Urges 'Robust' Push on North Korea --- Obama Facing Reluctance in Beijing and Moscow Calls on Nations to Implement Latest U.N. Sanctions ---- By Peter Spiegel,2009-06-17 06:15:01.085,Geopolitical Tensions,Geopolitical Tensions,Geopolitical Tensions
7642,Deals & Deal Makers: Deal Journal / Breaking Insight from WSJ.com ---- By Dana Cimilluca,2009-06-09 06:08:11.143,Deal activity slowdown,Market Overheating,Market Opportunities
7643,U.S. News: Plan to Tap Stimulus in Flu Emergency Creates a Stir ---- By Jonathan Weisman,2009-06-04 06:12:02.132,Stimulus Allocation,Government Spending,Stimulus Utilization
7644,International Finance: At UBS Mr. Grubel's Job Isn't Getting Any Easier ---- By Stephen Fidler,2009-06-29 06:01:22.210,Banking Stability,Banking Stability,Banking Stability
7645,China Squeezes PC Makers --- Beijing Is Set to Require Web Filter That Would Censor 'Harmful' Internet Sites ---- By Loretta Chao,2009-06-08 06:10:02.787,Internet Censorship,Censorship Risks,Regulatory Censorship
7646,Technology: EBay CEO 'Cautiously Optimistic' --- Donahoe Says Business Is Stabilizing Mulls Fate of Kajiji Brand in U.S. ---- By Geoffrey A. Fowler,2009-06-12 06:14:31.411,Market Stability,Market Uncertainty,Market Stability
7647,Eyes on the Road: For the New GM A Final Challenge to Please Drivers ---- By Joseph B. White,2009-06-03 02:22:00.020,Consumer Satisfaction,Consumer Confidence,Consumer Preferences
7648,World Stock Markets: Positive Start to Week for Asia Markets --- Oil and Resource Stocks on the Rise in Sydney; Technology Issues Lift Seoul ---- By Rosalind Mathieson,2009-06-22 06:12:32.998,Market Rally,Market Overheating,Market Resilience
7649,Deals & Deal Makers: BGI Deal Is Official: BlackRock's Bid Accepted ---- By Sara Schaefer Munoz,2009-06-17 06:10:21.320,M&A Approval,Market Concentration,Market Consolidation
7650,Wednesday's Markets: Oil Skids 4.4% as Stocks Stall Ahead of Earnings ---- By Peter A. McKay,2009-07-09 06:12:02.817,Oil Price Decline,Oil Price Decline,Oil Decline
7651,World News: U.S. India Set Defense Deals --- Clinton Ends Visit Securing Pledge of Two Nuclear-Power Sites More Cooperation ---- By Matthew Rosenberg,2009-07-21 06:11:01.380,Defense Cooperation,Geopolitical Tensions,Geopolitical Stability
7652,U.S. Airlines Fly Into Credit Squeeze --- Plunge in Travel Demand Could Result in Bankruptcy Filings by Winter if Conditions Don't Improve ---- By Susan Carey and Mike Esterl,2009-07-13 06:11:51.372,Airline Credit Risk,Airline Bankruptcy Risks,Travel Demand
7653,Technology: Vivendi Halts Talks With Zain To Buy Assets In Africa Unit ---- By Ruth Bender,2009-07-21 06:03:11.913,M&A Uncertainty,Market Uncertainty,Market Uncertainty
7654,Deals & Deal Makers: U.S. Enters Europe's Fund Debate --- Washington Joins U.K. in Lobbying EU for Less-Stringent Regulations ---- By Alistair MacDonald,2009-07-27 06:11:21.571,Regulatory Easing,Regulatory Evasion,Regulatory Easing
7655,Deals & Deal Makers: UBS Client Pleads Guilty In U.S. Case ---- By Carrick Mollenkamp,2009-07-29 06:18:01.949,Legal Risk,Legal Risks,Legal Risks
7656,Thursday's Markets: Blue Chips Edge Higher As Crude Oil Turns Up ---- By Peter A. Mckay,2009-07-10 06:18:51.879,Market Volatility,Oil Price Volatility,Oil Price Fluctuations
7657,Deals & Deal Makers: Friends Provident Rebuffs Resolution's Takeover Offer ---- By Vladimir Guevarra,2009-07-14 06:13:11.457,M&A Risk,Potential M&A Disruption,Mergers & Acquisitions
7658,Currents -- The Numbers Guy: Calorie Disclosures Fail to Weigh Whole Enchilada --- Laws Requiring Restaurants to Post Nutritional Data Lean on Slim Research Overlook 'Compensation' Meals ---- By Carl Bialik,2009-07-08 06:08:51.119,Nutritional Disclosure Risks,Regulatory Gaps,Regulatory Gaps
7659,U.S. News: Drug Makers Score Early Wins as Plan Takes Shape ---- By Alicia Mundy and Laura Meckler,2009-07-17 06:12:51.322,Pharmaceutical Regulation,Pharmaceutical Regulation,Pharmaceutical Innovation
7660,White House 'Beer Summit' Becomes Something of a Brouhaha --- U.S. Brewers Say Meeting With Professor Policeman Should Be All-American Affair ---- By Robert Tomsho,2009-07-30 06:15:21.822,Public Relations Risk,Regulatory Tensions,Regulatory Scrutiny
7661,Currency Trading: Dollar Sinks Across the Board --- Euro Hits Six-Week High Against Greenback on Risk Thirst ---- By Riva Froymovich,2009-07-21 06:01:11.794,Exchange Rate Volatility,Currency Volatility,Currency Volatility
7662,Deals & Deal Makers: In a Flash Schumer Warns SEC ---- By Geoffrey Rogow,2009-07-27 06:03:41.114,Regulatory Uncertainty,Regulatory Crackdown,Regulatory Uncertainty
7663,What's Ahead -- People & Events to Watch in the Coming Week,2009-07-27 06:08:41.412,Market Volatility,Market Volatility,Market Volatility
7664,Earnings: ConocoPhillips Earnings Tumble --- Crude-Oil Production Increases but Refining Losses Drag Down Results ---- By Ben Casselman and Susan Daker,2009-07-30 06:20:51.229,Refining Losses,Refining Losses,Refining Losses
7665,Contrite Cerberus Looks To Appease Its Investors --- Select Asset Sales to Meet Redemptions; New Terms for Others ---- By Peter Lattman and Mike Spector,2009-07-10 06:19:51.939,Asset Liquidation,Asset Liquidation,Asset Sales
7666,Technology: RIM Warns of Spying Software in Dubai --- BlackBerry Maker Says Update Sent by Etisalat to Customers Wasn't Authorized ---- By Margaret Coker and Stuart Weinberg,2009-07-23 06:01:31.647,Cybersecurity Risk,Cybersecurity Risk,Regulatory Risks
7667,Corporate News: TCP to Sell Bulbs With Its Name in U.S. ---- By Paul Glader,2009-07-03 06:04:31.179,Brand Expansion Risks,Brand dilution,Brand Expansion
7668,U.S. News: CIA Plan Envisioned Hit Teams Killing al Qaeda Leaders ---- By Siobhan Gorman,2009-07-14 06:15:21.586,Counterterrorism Operations,Counterterrorism Operations,Counterterrorism Operations
7669,U.S. News: New Jersey Outshines 48 of Its Peers in Solar Power --- Lacking California's Sunshine and Deserts State Capitalizes on Utility Poles and Flat Industrial Roofs to Claim No. 2 Spot ---- By Rebecca Smith and Russell Gold,2009-07-31 06:12:32.208,Renewable Energy Investment,Overinvestment,Renewable Energy Growth
7670,Fund Track: Warning Signs Up For Leveraged ETFs --- Brokerages Respond to Regulator Concerns ---- By Daisy Maxey,2009-07-30 06:02:21.017,Leveraged ETF Risks,Leverage Risks,Regulatory Scrutiny
7671,Deals & Deal Makers -- The Madoff Fraud: Ruth Madoff Is Sued By Firm's Liquidator ---- By Patrick Fitzgerald,2009-07-30 06:19:51.160,Fraud Litigation,Fraud Risk,Regulatory Oversight
7672,Corporate News: GE Says Efforts on Course to Shrink Finance Unit Post Profit ---- By Paul Glader and Bob Sechler,2009-07-29 06:05:31.134,Financial Restructuring,Financial Stability,Financial Restructuring
7673,World News: German Firm Won't Let Iran Staff Protest --- Company Orders Workers Not to Rally With Opposition in Effort to Secure Detained Executive's Release ---- By Farnaz Fassihi and Matthew Karnitschnig,2009-07-31 06:17:52.526,Corporate Governance Risks,Corporate Repression,Labor Relations
7674,Wednesday's Markets: Dow Gains 57.06 Points To Kick Off Second Half ---- By Peter A. McKay and Geoffrey Rogow,2009-07-02 06:17:12.252,Market Volatility,Market Stability,Market Resilience
7675,MGM Recasts Leadership in Bid to Dig Out of Debt ---- By Peter Lattman and Lauren A.E. Schuker,2009-08-19 06:20:02.490,Corporate Debt,Corporate Debt,Corporate Restructuring
7676,World News: Fighting Fraud in Afghanistan's Elections --- Commission Chief Struggles to Keep Process Honest; 'You Do Your Best Given the Circumstances' ---- By Anand Gopal,2009-08-13 06:17:21.161,Electoral Integrity,Electoral Integrity,Electoral Integrity
7677,U.S. News --- THE OUTLOOK: Pace of Job Losses Sets Stage for Quick Labor-Market Rebound ---- By Justin Lahart,2009-08-10 06:10:41.391,Labor Market Resilience,Labor Market Volatility,Labor Market Resilience
7678,Technically Speaking: REITs May Face Trouble but REIT Shares Don't ---- By Donna Kardos Yesalavich,2009-08-19 06:09:42.742,REIT Market Volatility,REIT Volatility,REIT Market Resilience
7679,Credit Markets: California Keeps Funds Flowing --- State Has Raised $736.3 Million on Short-Term Bond Sales to Public Entities ---- By Stan Rosenberg,2009-08-07 06:04:41.833,State Funding Stability,State Funding Risks,State Funding
7680,Media & Marketing -- Advertising: Hearst Signs On in Beauty Contest --- New Site Aims to Attract Ads From Cosmetics Hair-Care Firms ---- By Shira Ovide and Emily Steel,2009-08-31 06:03:31.863,Advertising Competition,Advertising Dependence,Advertising Growth
7681,Corporate News: GameStop Profit Takes a Hit As Shoppers Cut Back Purchases ---- By Yukari Iwatani Kane and Tess Stynes,2009-08-21 06:09:02.939,Consumer Spending,Consumer Spending,Consumer Spending
7682,World News: Swiss Don't See Defeat in Deal to Give Names to U.S. ---- By Anita Greil and Carrick Mollenkamp,2009-08-21 06:13:32.204,Legal/Regulatory Risks,Data Privacy,International Relations
7683,Deals & Deal Makers: Two Traders Will Urge Changes In Gas Market ---- By Ann Davis and Ianthe Jeanne Dugan,2009-08-05 06:11:22.918,Gas Market Volatility,Market Manipulation,Market Volatility
7684,Corporate News: MTN Earnings Eclipsed by Talks --- South African Telecom Considers Tie-Up With India's Bharti Airtel ---- By Robb M. Stewart,2009-08-28 06:02:32.605,Mergers and Acquisitions,Mergers & Acquisitions,Cross-Border Mergers
7685,World News: North Korea Frees Detainee From the South --- Release of Worker Held for More Than Four Months Seen as a Further Signal Pyongyang Is Ready to Restart International Talks ---- By Gordon Fairclough,2009-08-14 06:11:22.908,Geopolitical Tensions,Geopolitical Tensions,Diplomatic Engagement
7686,Credit Markets: Banks Split on Yield Forecasts --- Median for 10-Year Treasury Note Is 3.6% at Year End ---- By Min Zeng,2009-08-20 06:01:41.859,Interest Rate Forecasts,Interest Rate Risk,Yield Forecast
7687,Deals & Deal Makers -- The Stanford Affair: Stanford Financial's No. 2 Is Guilty --- As His Boss Falls Ill Finance Chief Admits Bilking Investors in Ponzi Scheme ---- By Susan Daker,2009-08-28 06:17:42.511,Ponzi Scheme,Ponzi Scheme,Regulatory Risk
7688,World News: India Hopes for Rain and an Accurate Forecast ---- By Sonya Misquitta and Geeta Anand,2009-08-13 06:17:51.201,Weather Dependency,Agricultural Risk,Agricultural Productivity
7689,UBS to Give 4 450 Names to U.S. --- Tax-Evasion Pact May Disclose 10 000 Clients; Swiss Government Selling Stake ---- By Carrick Mollenkamp Laura Saunders and Evan Perez,2009-08-20 06:17:11.772,Tax Evasion Enforcement,Tax Evasion Enforcement,Tax Transparency
7690,Media & Marketing -- Advertising: For State Local Office Seekers Web Ads Present Potential Pitfalls ---- By Emily Steel,2009-08-03 06:12:42.815,Political Advertising Risks,Regulatory Risks,Digital Advertising Risks
7691,U.S. News: Labor Leader Named Head of New York Fed ---- By Jon Hilsenrath,2009-08-25 06:14:41.690,Leadership Transition,Federal Reserve Leadership,Leadership Transition
7692,Corporate News: Hedges Pay Off for Gas Producers --- Crackdown on Energy Speculators a Concern As Locked-In Prices Help Earnings ---- By Ann Davis,2009-08-12 06:18:22.420,Energy Market Volatility,Market Manipulation,Energy Market Stability
7693,U.S. News: Oil Prices Widen Trade Gap As Imports and Exports Rise ---- By Nicholas Casey,2009-08-13 06:13:41.813,Oil Market Imbalance,Oil Price Volatility,Oil Market Dynamics
7694,International Finance: Malaysia Pushes Brokerage Firms to Merge --- Seeking Companies Big and Strong Enough to Compete World-Wide; Keeping Up With Singapore ---- By Elffie Chew,2009-08-10 06:04:21.014,Market Consolidation,Market Consolidation,Market Consolidation
7695,Wednesday's Markets: Dow Jumps By 120.16 As the Bulls Seize Day ---- By Peter A. McKay and Geoffrey Rogow,2009-08-13 06:14:51.902,Market Volatility,Market Volatility,Market Volatility
7696,World News: More Afghan Candidates Claim Fraud --- With First Set of Results Due Tuesday Contenders Jockey for Position Ahead of Possible Runoff ---- By Anand Gopal and Matthew Rosenberg,2009-08-25 06:17:21.850,Electoral Uncertainty,Electoral Instability,Electoral Uncertainty
7697,Options Report: Intel Outlook Spurs Chip Activity --- Bulls Place Their Bets on Advanced Micro Devices SanDisk and Nvidia ---- By Tennille Tracy,2009-08-31 06:00:51.704,Semiconductor Market Risk,Market Speculation,Market Sentiment
7698,Dollar Now Cheaper to Borrow Than Yen --- Low U.S. Interest Rates Easing of Credit Markets Cause Reversal for the First Time in 16 Years ---- By Craig Karmin Carrick Mollenkamp and David Roman,2009-08-27 06:14:41.835,Interest Rate Divergence,Currency Risk,Interest Rate Arbitrage
7699,World News: India Has Its Own Kind of Power Struggle --- To Short-Circuit Tradition of Electricity Theft One New Delhi Utility Relies on Insulated Cables and Neighborhood Informants ---- By Jackie Range,2009-08-07 06:17:31.588,Energy Theft Prevention,Regulatory Risks,Innovation in Utility Management
7700,Corporate News: Air Force Resumes Tanker Contest --- Competing Boeing and Northrop-Airbus Bids Are Expected in Third Round ---- By August Cole and Peter Sanders,2009-09-25 06:22:11.919,Defense Contracting,Defense Spending,Defense Spending
7701,Corporate News: DOT's Porcari Is Recused in Airline Antitrust Case ---- By Kaveri Niththyananthan,2009-09-24 06:04:42.605,Legal/Regulatory Risk,Regulatory Uncertainty,Regulatory Risk
7702,Alchemy Investors Face Decision on Firm's Future --- Moulton's Resignation in Which He Poked at His Partners Will Trigger 'Key Man' Clause; How Many Will Stay? ---- By Paul Hodkinson and James Mawson,2009-09-08 06:01:12.222,Leadership Uncertainty,Leadership Instability,Leadership Transition
7703,Technology -- Tech Journal: New Taser 'Shoots' Evidence --- Stun-Gun Maker's Technology Lets Police Record Video ---- By Veronica Dagher,2009-09-02 06:20:42.413,Legal and Privacy Risks,Privacy Concerns,Innovation in Surveillance
7704,U.S. News: School Speech Released in Bid to Quell Controversy ---- By Jonathan Weisman and Ben Casselman,2009-09-08 06:11:12.819,Free Speech Controversy,Free Speech Controversy,Free Speech
7705,Managing -- Theory & Practice: Peer Pressure and Other Pitches --- More Companies Turn to Behavioral Economics to Affect Consumer Response ---- By Michael Sanserino,2009-09-14 06:07:32.658,Consumer Behavior,Consumer Manipulation,Consumer Behavior
7706,U.S. News: Airline Crew Charged in Drug Bust --- U.S. Indicts 23 Including Nine American Workers in Alleged Cocaine Trafficking Plot ---- By Evan Perez and Mike Esterl,2009-09-16 06:12:31.526,Aviation Security Risks,Labor Unrest,Aviation Industry Risk
7707,International Finance: Ex-Banker Guilty of Insider Deals --- Hong Kong Judge Also Criticizes Morgan Stanley ---- By Jonathan Cheng,2009-09-11 06:13:02.985,Insider Trading Risk,Regulatory Risk,Regulatory Scrutiny
7708,Deals & Deal Makers: In Europe Kraft Lifts M&A Rebound Hopes ---- By Barbara Kollmeyer,2009-09-21 06:00:21.704,M&A Activity,M&A Overheating,M&A Activity
7709,Corporate News: Stanley Ho Adds Macau Casino --- Optimism on Sector's Revival Propels Surge in Hong Kong Gambling Stocks ---- By Jonathan Chang in Macau and Jeffrey Ng in Hong Kong,2009-09-22 06:10:52.032,Gambling Sector Revival,Gambling Sector Overheating,Market Revival
7710,World News: Japan Lawmaker Pushes to Scale Back U.S. Bases --- Son of an American Serviceman Seeks to Reduce Military Presence in Okinawa Highlighting Ruling Party's Policy Review ---- By Yuka Hayashi,2009-09-21 06:10:01.281,Military Relocation,Geopolitical Instability,Geopolitical Adjustment
7711,World News: Russia Revives Privatization --- Putin Signals Shift After Years of Increased Government Control ---- By Alexander Kolyandr and William Mauldin,2009-09-30 06:20:21.023,Privatization Risks,State Intervention,Privatization
7712,Deals & Deal Makers: Deal Journal / Breaking Insight from WSJ.com ---- By Dana Cimilluca,2009-09-29 06:01:41.867,Market Volatility,Market Overheating,Market Activity
7713,Deals & Deal Makers: Foes Take On 'Uptick' Rule for Stocks ---- By Scott Patterson,2009-09-29 06:17:11.792,Market Regulation,Market Regulation,Market Regulation
7714,U.S. News: Paper Is the Next Front in Trade Fight With China ---- By Kris Maher,2009-09-24 06:17:52.390,Trade Tensions,Trade Tensions,Trade Tensions
7715,The G-20 Summit: Investors Worry Global Overhaul Will Weaken the Dollar ---- By Neil Shah and Alex Frangos,2009-09-24 06:17:12.351,Currency Devaluation,Dollar Weakening,Currency Stability
7716,U.S. News: Cases Pile Up in Georgia Courts --- Budget Squeeze Forces Cuts in Spending for Judiciary Creating Months-Long Delays ---- By Paulo Prada and Corey Dade,2009-09-08 06:11:02.809,Judicial Budget Cuts,Judicial Budget Cuts,Judicial Budget Cuts
7717,Media & Marketing -- Advertising: 'Dog Whisperer' Hopes to Lead Pack at Newsstand --- With New Magazine IMG and Cesar Millan Join Chase for Ad Dollars From Recession-Resistant Pet-Care Industry ---- By Suzanne Vranica,2009-09-10 06:04:41.268,Advertising Competition,Market Concentration,Advertising Opportunities
7718,International Finance: Vatican Revamps Its Bank's Ranks --- In Push for Transparency Holy See Names New CEO and Management Board ---- By Stacy Meichtry,2009-09-24 06:19:22.480,Banking Transparency,Regulatory Scrutiny,Regulatory Reforms
7719,Earnings: Hovnanian Turns In a Narrower Loss --- Revenue Declined 46% in Quarter Though Home Builder's Cancellation Rate Has Improved ---- By Dawn Wotapka and John Kell,2009-09-03 06:09:32.845,Housing Market Decline,Housing Market Slowdown,Housing Market Volatility
7720,Small Business -- Enterprise: Pro Bono Work Helps Firms Fight Economic Slump --- Employees Volunteer Services to Charities and Nonprofits Fostering Potential New Customer Relationships ---- By Raymund Flandez,2009-09-01 06:02:31.801,Corporate Social Responsibility,Reduced Revenue Streams,Corporate Social Responsibility
7721,In Australia a Battle for Pay TV --- Media Barons James Packer Kerry Stokes Jockey for Position Over Foxtel ---- By Lyndal McFarland,2009-09-08 06:08:32.660,Media Competition,Media Concentration,Media Consolidation
7722,Credit Markets: BABs Crowd Out Tax-Exempts --- Institutions Like the Bonds; Retail Investors Reticent ---- By Rob Copeland,2009-09-01 06:14:51.577,Municipal Bond Market,Market Distortion,Tax-Exempt Bond Competition
7723,Fund Track: Small-Cap Funds' Outsize Gains Over? --- This Year's Surge Is Unlikely to Continue ---- By Sam Mamudi,2009-09-01 06:07:51.129,Market Volatility,Market Volatility,Market Volatility
7724,Deals & Deal Makers: Ross Gets Nod for a Bank Charter --- Approval Opens Door for Bid on Failed Firms as Related Cos. Seeks Corus Assets ---- By Nick Timiraos,2009-09-11 06:06:32.597,Banking Regulation,Banking Regulation Risks,Banking Expansion
7725,Toxic-Asset Rescue Funds Start --- Program Designed to Buy Mortgage-Tied Securities Will Launch Next Week ---- By Liz Rappaport and Craig Karmin,2009-10-06 06:18:32.243,Mortgage Market Risks,Mortgage Market Risk,Government Intervention
7726,World News: Iraq Says Firms Ease Demands on Oil-Field Rights ---- By Gina Chon,2009-10-14 06:20:02.550,Oil Rights Negotiations,Regulatory Uncertainty,Regulatory Flexibility
7727,World News: Surge in Refugees Presents a Problem for Australia --- Government Faces Pressure to Tighten Relaxed Policies as Boat People Flock to Economic Haven From War-Torn Asian Countries ---- By Rachel Pannett and Tom Wright,2009-10-29 06:09:22.654,Refugee Crisis,Migration Pressure,Migration Opportunities
7728,Cerberus Sets Its Sights On IPO for a Gun Maker --- Freedom Group Could Salve Pain of Bad Chrysler GMAC Bets ---- By Peter Lattman,2009-10-20 06:16:22.050,Defense Industry Investment,Military Spending,Defense Industry
7729,Earnings: H&M Pressured as Upscale Rivals Trim Prices --- Retailer of 'Cheap Chic' Clothing Says Warm Autumn Weather Also Hurt September Sales of Toasty Items ---- By Cecilie Rohwedder,2009-10-16 06:09:31.456,Competitive Pricing,Competitive Pressure,Competitive Pricing
7730,Heard on the Street: Windfalls Show That Bonus Tax Makes Sense ---- By Simon Nixon,2009-10-20 06:10:52.722,Bonus Tax,Tax Policy,Bonus Tax
7731,U.S. News: Gloom Spreads on Economy but GOP Doesn't Gain --- Poll Reflects Increasing Pessimism With Majority Saying U.S. Is on the 'Wrong Track' for First Time in Obama Presidency ---- By Jonathan Weisman,2009-10-28 06:20:12.634,Economic Sentiment,Economic Sentiment,Consumer Sentiment
7732,World News: Gates Doubts U.S.'s Afghan Strategy --- As Obama Reviews Options Defense Secretary Worries Manpower-Intensive Plan Won't Stop Taliban ---- By Yochi J. Dreazen,2009-10-01 06:18:41.866,Afghanistan Security Risks,Military Spending,Geopolitical Uncertainty
7733,World News: Tbilisi Started '08 War but Moscow Also at Fault EU Finds ---- By Marc Champion,2009-10-01 06:10:51.399,Geopolitical Tensions,Geopolitical Tensions,Geopolitical Tensions
7734,Corporate News: France Telecom Executive Resigns on Suicide Issue --- Head of Domestic Operations to Leave as Worker Deaths Spur Criticism About Pressure From Restructuring ---- By Max Colchester and Geraldine Amiel,2009-10-06 06:19:22.292,Workplace Safety,Corporate Governance Risks,Corporate Restructuring
7735,International Finance: ECB Soaks Up $250 Billion as Loan Levels Lag ---- By Nina Koeppen,2009-10-14 06:01:12.426,ECB Liquidity Risk,Liquidity Drain,Liquidity Injection
7736,World Stock Markets: China India Decline; BP Nudges Europe Up ---- A WSJ News Roundup,2009-10-28 06:17:42.485,Market Volatility,Market Volatility,Market Volatility
7737,The French Get Lost in the Clouds Over a New Term in the Internet Age --- They Turned Email Into Courriel But What's With Informatique en Nuage? ---- By Max Colchester,2009-10-14 06:15:52.301,Digital Localization,Regulatory Uncertainty,Digital Transformation
7738,Large Stock Focus: Wells Fargo Leads Stocks Into the Red ---- By Geoffrey Rogow,2009-10-22 06:12:41.745,Market Volatility,Banking Sector Risk,Market Volatility
7739,World News: Opposition Grows to Iraqi Election Plan --- Lawmakers to Decide on 'Closed List' Ballot for January Poll Showing Candidates' Affiliations Rather Than Individual Names ---- By Gina Chon,2009-10-12 06:07:41.261,Electoral Uncertainty,Electoral Instability,Electoral Reform
7740,Heard on the Street: It's No Time to Quit Lorillard ---- By John Jannarone,2009-10-27 06:12:32.821,Corporate Strategy,Market Volatility,Market Resilience
7741,Media & Marketing: U.K. Regulator Objects to Ticketmaster Deal --- Competition Commission Says Other Companies Could Be Locked Out of Market for Promoting Live Music ---- By Steve McGrath,2009-10-09 06:21:51.158,Market Competition,Market Concentration,Market Competition
7742,International Finance: Japan Sees Yen Limits but Won't Act Yet ---- By Alison Tudor,2009-10-07 06:02:01.970,Currency Intervention,Currency Intervention,Currency Stabilization
7743,Technology: EU Microsoft Near End in Antitrust Tussle --- Kroes Welcomes Software Giant's Move to Give PC Users Choice of Web Browsers ---- By Charles Forelle and Peppi Kiviniemi,2009-10-08 06:16:22.288,Antitrust Regulation,Antitrust Regulation,Regulatory Flexibility
7744,Currency Trading -- Forex View: No Relief in Sight for Dollar ---- By Bradley Davis,2009-10-19 06:10:21.450,Dollar Strength,Dollar Weakness,Dollar Resilience
7745,Small Stock Focus: Superior Well Is Inferior But Panera Bread Rises ---- By Donna Kardos Yesalavich,2009-10-29 06:02:12.226,Market Sentiment,Market Volatility,Market Perception
7746,Currents -- The Numbers Guy: New Research on Spanking Might Need a Time Out --- Studies Aim to Settle the Longstanding Debate Over the Disciplinary Practice's Effects but Statistical Shortcomings Persist ---- By Carl Bialik,2009-10-14 06:13:52.182,Research Validity,Behavioral Risks,Behavioral Economics
7747,World News: Ethiopia Requests $175 Million In Aid as Drought Crisis Looms ---- By Sarah Childress,2009-10-23 06:14:22.138,Drought Relief,Humanitarian Aid Dependency,Humanitarian Aid
